t;B1;B2;B3;B4;B5;B6;B7;B8;B9
0.65;1.0762011626194234;1.1610704680015904;1.0747371262761645;0.9310568264051163;0.8502774227996867;0.8247234069853572;1.0916554676249803;1.0163856008321173;0.9992031216963714
0.66;1.0868220607642802;1.1723950594867918;1.0910824131664827;0.9481533555113492;0.865890640269339;0.8501640338781308;1.1067162272556006;1.0346728667112295;1.0202834123940034
0.67;1.0976613352186764;1.184188824718106;1.1081570262049925;0.9658792980938351;0.882078662684604;0.8765692902375145;1.1224191190371058;1.0537272367482755;1.042236457483989
0.68;1.1086190391660182;1.19636973205371;1.1258412070680563;0.98407759670022;0.8986980590517634;0.9037054416634444;1.1386407899899202;1.0733900754585848;1.0648793396215634
0.69;1.1195697221526617;1.2088370405367446;1.1439836247990638;1.002549476887294;0.9155673007932934;0.9312872062742876;1.1552323574686332;1.0934714194930886;1.0879893439420596
0.7;1.1303620872570381;1.2214698317665798;1.1623984935707128;1.0210540664586962;0.9324664140208803;0.9589779809783383;1.1720179655673588;1.1137485963127811;1.111302326185356
0.71;1.1408203174670617;1.2341263853677966;1.1808640585929755;1.0393105226078003;0.9491389221253014;0.9863929348664958;1.1887945843477965;1.1339664253729276;1.1345131319221957
0.72;1.1507474365169141;1.246644845300835;1.1991233947884168;1.0570031552417687;0.9652965245958585;1.0131055634583894;1.205333632008514;1.1538396964134536;1.1572789186058716
0.73;1.1599309400465863;1.2588455355050518;1.216888231057265;1.0737898495403178;0.9806267888296829;1.0386580799386507;1.2213848506251463;1.1730584158873465;1.1792259696469602
0.74;1.1681507274133853;1.2705351510354455;1.233846264221744;1.0893138121885682;0.9948038772499008;1.0625757085839802;1.236682669665427;1.1912960646700048;1.199960283991347
0.75;1.1751890882492264;1.2815128492697125;1.2496720505974888;1.1032182974616338;1.0075019957406774;1.0843845254185591;1.2509550120458677;1.2082207678177315;1.2190818027842738
0.76;1.1808421797413784;1.2915780110906334;1.2640410761758711;1.1151635464175929;1.0184108631791877;1.1036319969800157;1.263934158759905;1.2235088678292512;1.2362016259005415
0.77;1.1849321208168462;1.3005391717497665;1.2766460746113313;1.124844757275523;1.0272521226860263;1.1199088708036686;1.2753689407057274;1.2368599767553192;1.2509610473966593
0.78;1.1873185925801832;1.3082233864106056;1.287214184160697;1.1320095794542477;1.0337953178639898;1.1328706673367697;1.2850372364626768;1.2480122386350077;1.2630507990948854
0.79;1.1879087352606337;1.314485149077196;1.2955232202020104;1.136473471718169;1.037871918456112;1.1422568143754417;1.292757589151767;1.25675634245668;1.2722286398418912
0.8;1.1866642163174819;1.3192139661321207;1.301415280458517;1.1381313485692846;1.0393859562852836;1.147905530433783;1.298398763213452;1.262946846832749;1.2783334458029398
0.81;1.183604621183924;1.3223398118353449;1.304806138542397;1.1369642754861262;1.0383201396076935;1.1497629295821166;1.301886257976683;1.2665096295691265;1.2812942747159919
0.82;1.178806750808899;1.32383594537383;1.3056893927377085;1.1330405220081037;1.0347368148305411;1.147885445472299;1.3032051522050425;1.2674447253078955;1.2811334568378208
0.83;1.1723999231190814;1.3237189006211578;1.3041350284067066;1.1265109490870016;1.028773754061443;1.14243545067439;1.3023991076824581;1.2658243823699273;1.2779635057161156
0.84;1.1645578895540212;1.3220458082675426;1.3002827899886302;1.117599384785668;1.0206353658209442;1.1336707447884355;1.299565826531334;1.261786751496356;1.2719784061409698
0.85;1.1555039552946504;1.3189108976887942;1.2943345715301051;1.1066020192715376;1.0105921425269961;1.1219386729677288;1.2948517300226794;1.2555289828642384;1.2634446274280475
0.86;1.1455766829584226;1.314445457769693;1.2865557626294666;1.093934931930841;0.999024064110116;1.1077034973247777;1.2884521765308665;1.2473084314541567;1.2527044670219234
0.87;1.1350994061000563;1.308798977092601;1.2772345496010011;1.080019009624938;0.9863155008746908;1.091452844429783;1.2805837718575195;1.2374056293906435;1.2401248186672091
0.88;1.1242937796541124;1.3021847764232608;1.2666707136861388;1.0652062128215187;0.9727878768529679;1.0736446211849766;1.2715147426693896;1.2261367568361472;1.2260850746041054
0.89;1.113371354601276;1.294873726311598;1.2551818514319701;1.0498477425165471;0.9587619224979814;1.0547496015693916;1.2615626413895231;1.2138563262840403;1.2109870910443008
0.9;1.1025222437718079;1.2870743393883537;1.2430599541322995;1.0342716828216063;0.9445372570219499;1.0352148793549494;1.2509909657181775;1.200874805616298;1.1951992068404613
0.91;1.0919117807300769;1.2789367520776564;1.2305664313495732;1.018776026887145;0.9303860193972644;1.0154547533743705;1.2400101583461658;1.1874566278656802;1.1790505453449869
0.92;1.0816806007232436;1.2706040430641519;1.217943030026434;1.0036281038011012;0.9165523449779491;0.9958529652904483;1.2288191525964896;1.1738500421034346;1.162845927902053
0.93;1.0719440172234176;1.2622100915231156;1.2054090486927336;0.9890611013333386;0.9032491899342026;0.9767570644084923;1.2176027425786555;1.1602840758675852;1.1468622639033266
0.94;1.0627928511568703;1.253878310401944;1.1931603157725663;0.9752727474883774;0.8906571271949059;0.9584751482298715;1.2065301828118413;1.1469670574301862;1.1313469971324182
0.95;1.0542953401008794;1.2457211477231904;1.1813694949496762;0.9624257682148768;0.8789247644457817;0.9412745783298627;1.1957548126026236;1.134086392891261;1.1165181585717439
0.96;1.0464997622839627;1.2378401607265939;1.1701872656072307;0.9506497082546516;0.8681704069997648;0.9253822401511244;1.1854144244202514;1.1218092335826868;1.1025655402645194
0.97;1.0394374488341889;1.2303264730681833;1.1597439775111285;0.940043713285455;0.8584845985583464;0.9109859378260405;1.17563210845212;1.110283691434354;1.0896525439720728
0.98;1.0331259112634177;1.2232614443669025;1.1501514543812192;0.9306799043680003;0.8499332028882631;0.8982365596469237;1.1665173362621908;1.099640303947977;1.0779183253030835
0.99;1.0275718695272775;1.2167174073883669;1.1415047038134691;0.9226070205432723;0.8425607303834921;0.8872507029726553;1.1581670858268187;1.0899935046186733;1.0674799328413886
1.0;1.022774022114807;1.2107583558852348;1.1338833691460517;0.91585405562641;0.8363936593273288;0.8781135005641705;1.1506668512211125;1.0814429103679384;1.0584342208935953
1.01;1.0187254492388775;1.205440492243523;1.1273528258063914;0.9104336666782131;0.8314435486415612;0.8708814392589138;1.1440914185393731;1.0740742895209698;1.0508593868070029
1.02;1.015415581410224;1.2008125673860655;1.121964879993714;0.9063451821189579;0.8277097850133814;0.8655850059777206;1.1385053238623317;1.0679601205467923;1.044816047431605
